name,private,fork,archived,language,pushed_at,family,category,status,completion,real_utility,novel_concepts,u_n,description,one_liner,url,tags,salvage,notes
CAM-Pulse,False,False,False,Python,2026-05-04,LLM / agents / tooling,LLM-agents-tooling,iteration,8,8,8,16,"CAM-PULSE: Autonomous code intelligence engine. Discovers repos from X, mines reusable patterns, and applies them to your builds — with proof. 1,881 tests. 8 showpieces. Free & open source.","Flagship Codebase Assimilation Machine: mines GitHub methodologies, scores them, builds via multi-model OpenRouter, and closes the loop with a Thompson-sampling bandit plus 3-layer defense chain.",https://github.com/deesatzed/CAM-Pulse,"CAM, methodology-mining, bandit, defense-chain","Discover-mine-store-retrieve-build-verify-correct-rotate-learn-demote loop with Thompson sampling on real pytest outcomes. | 3-layer defense chain: deterministic auto-fix, correction loop, model rotation. | camify.sh + claw.toml + SKILL.md operator surface. | Local-first Ollama/MLX plus OpenRouter multi-model config.","Public, 3.4MB, tests, Docker, CI. Successor of archived clawamorphosis. Other CAM_* repos depend on this."
hcc_synth_1,True,False,False,Python,2026-02-28,Clinical / EM / PHI,clinical-EM-PHI,iteration,8,8,8,16,,"Stigmergic Clinical Monitor: Hospital-at-Home event labeling with a 40-dim patient field, Bayesian falsifiers, 6-control alert-fatigue engine, FHIR R4, and a React dashboard. 1594 tests claimed.",https://github.com/deesatzed/hcc_synth_1,"H@H, stigmergy, alert-fatigue, FHIR","src/stigmergy/substrate patient_field.py (40-dim) plus Welford self_model.py baselines. | falsifier_engine.py (9 templates) plus decision_policy.py 20:1 miss-to-false-alarm cost. | fatigue/ 6 controls: cooldown, budget, severity routing, smart suppression, semantic dedup, escalation-on-silence. | Universal ingestion plus conflict scoring plus 32 demo scenarios plus FHIR bundle export.","Private. 14MB, frontend/hearth-cccc, paper/, Docker. Canonical H@H software; kcc_synth_1 is the predecessor."
clinclaw-firewall,True,False,False,Python,2026-05-28,Clinical / EM / PHI,clinical-EM-PHI,iteration,7,8,8,16,"ClinClaw — Clinical autonomy firewall separating clinical reasoning from clinical action. Local-first runtime with hash-chained traces, HMAC signing, circuit breakers, and most-restrictive-wins safety.","Local-first clinical autonomy firewall that pipes every proposed action through ClinSafer (JRE/Black Swan/tier cap) then Agent Pidgin (semantic policy + hash-chained traces), most-restrictive-wins.",https://github.com/deesatzed/clinclaw-firewall,"clinical-safety, autonomy-firewall, CHI-Bench, hash-chain, ClinSafer","Unified pipeline: Gateway -> ClinSafer Governor (JRE->MUD/CLEAR->Black Swan->T0-T4 cap) -> Skill Runner -> Claims Ledger -> Pidgin policy -> action. | Most-restrictive-wins composition of two independent governors; HMAC signing, circuit breakers, hash-chained traces. | CHI-Bench shadow overlay: evaluate safety shape of healthcare-ops actions on synthetic data without automating the benchmark. | HANDOFF/LOOPHOLE_REVIEW.md as a catalog of remaining authority/consent holes.","Private. Tests, pyproject, verify-mitigations.sh, GitHub workflows, CHI-Bench docs. Highest-leverage clinical-safety composition in the batch."
ClinSafer,False,False,False,Python,2026-05-08,Clinical / EM / PHI,clinical-EM-PHI,iteration,7,8,8,16,,"Judgment Readiness Engine: noisy-observation intake, JRI/MUD/CLEAR/Black Swan autonomy caps, disposition-justification not diagnosis.",https://github.com/deesatzed/ClinSafer,"JRE, Black-Swan, MUD-map",MUD map + CLEAR next questions. | Black Swan Guardrails capping autonomy T0-T4. | JRI 0-100 + READY/CLARIFY/NEED_OBJECTIVE_DATA/ESCALATE. | Any-Dispo / Cognitive Bias Field / Uncertainty Graph in interactive_demo.py.,"Public. Demos, tests, fly.toml. Canonical JRE; JRE-BSG-DHSW is a duplicate."
VAMS,True,False,False,Python,2025-11-07,LLM / agents / tooling,LLM-agents-tooling,final,7,8,8,16,,"Core Vector-Attractor Memory library: sparse Hopfield (k-WTA), typed PMI edges, energy-based conflict detection, MCP server, heavy tests.",https://github.com/deesatzed/VAMS,"hopfield, memory, mcp, compression",Sparse Hopfield MemoryRouter + MemoryGraph typed edges (vams/) | Energy-based conflict detection and convergence-as-confidence | AEGIS binary compression for edges/feedback (claimed ~70%) | vams_mcp_server for Claude Code,Foundation IP for ~20 other repos. Cleanest VAMS tree. Claims are aggressive; the API/architecture is still the thing to copy.
CAM_CAM,False,False,False,Python,2026-08-22,LLM / agents / tooling,LLM-agents-tooling,iteration,8,8,7,15,,"Local repo-intelligence / coding-memory system: Repo Rescue Desk scans a universe of git repos, clusters capabilities, ranks reuse, emits GraphRAG, never mutates source in the showpiece run.",https://github.com/deesatzed/CAM_CAM,"cam, graphrag, repo-necromancer, pulse, ci","CAM-PULSE method engine: mine reusable engineering patterns from source with evidence gates before an agent edits. | Repo Necromancer / MyLoc: generate a standalone subsystem-transplant repo then evaluate/preflight/camify with JSON patch-plan output. | Repo Rescue Desk: 238 repos to 8 clusters to 249 GraphRAG nodes, 0 source mutations. | camify.sh + claw_*.toml model profiles as the runtime config pattern.","Flagship of the CAM family. CI (ci.yml, test.yml), huge README, tests, docker. Public. His multi-repo workflow depends on this."
mamaclaw,True,False,False,Rust,2026-04-14,Clinical / EM / PHI,clinical-EM-PHI,iteration,7,8,7,15,,"HelpMomClaw: Hospital-at-Home / dementia Life360 stack - Rust edge hub, 61-rule tables, 73 cue templates, Hearth integration, wrapping the stigmergic monitor.",https://github.com/deesatzed/mamaclaw,"H@H, dementia, edge-hub, Rust, Hearth","rule_table_v3_core61.csv plus cue_templates_v3.csv as the deterministic kernel. | 8-stage pipeline: adapters to PatientStateField to EventLabeler to Falsifier to FHIR. | HAH1.md edge blueprint (Pi 5, Coral, LiteRT) and 30-condition catalog. | hearth-delivery already extracted to mamaclaw-hearth-sdk.",Private. No root README. CLAUDE.md still points at sibling hcc_synth_1/ - docs drift. Real tree is helpmomclaw/.
Agent_Pidgeon,False,False,False,Python,2026-05-09,LLM / agents / tooling,LLM-agents-tooling,iteration,7,7,8,15,,"Agent Pidgin: semantic catalogs, policy, diffs, receipts, and hash-chained AAFR traces.",https://github.com/deesatzed/Agent_Pidgeon,"semantic-contracts, flight-recorder, MCP","schemas/ for resolve, catalogs, receipts, AAFR traces. | Semantic diff for removed safety primitives and hash drift. | Resolution receipts with catalog+implementation hashes. | Trusted clinical-safety catalogs; MCP + A2A wrappers.","Public, tests, CI, LICENSE. Feeds clinclaw-firewall."
HarborSafePHI,False,False,False,TypeScript,2026-08-26,Clinical / EM / PHI,clinical-PHI,iteration,7,8,6,14,,"Browser-only MyChart/Epic PDF de-identifier (parse, detect, redact, optional OpenMed) before a user shares reviewed text with an external model; Fly-hosted.",https://github.com/deesatzed/HarborSafePHI,"phi, pdf, openmed, fly.io, browser-inference","Privacy model: PDF never uploaded to Fly; OpenRouter gets only user-approved redacted text. | PHI test surface: src/lib/phi/{detect,manual,pdf-text,packet}.test.ts. | OpenMed in-browser inference as optional NER layer on top of deterministic detection.",Live target harbor-safe-phi.fly.dev. Same scaffold as Carrel. Tests + typecheck + lint; no GitHub Actions.
redaktR,True,False,False,Python,2025-09-08,Clinical / EM / PHI,clinical-EM-PHI,iteration,7,8,6,14,,"Healthcare PHI redaction product: parallel regex+SpaCy then mandatory MLX LLM double-check, consensus voting, shipped as REST, MCP, folder-monitor, and Docker.",https://github.com/deesatzed/redaktR,"phi-redaction, mcp, mlx, spacy, consensus",4-technique pipeline + consensus engine; AST-grep dropped after 0 contribution on tabular data. | Service-specific technique ordering (folder: Regex||SpaCy→MLX; MCP: SpaCy→Regex→MLX). | Measured timings on ws_sample.csv (~85k chars): parallel 2.6s vs sequential 9.2s. | api_server.py / mcp_server.py / sql_pipeline_system.py / setup_windows_shares.py — three deployment modes.,Private; long honest README with real metrics (MLX finds almost no extra PHI but is kept for compliance). Strongest PHI asset in the batch.
tuhs-abx-steward,False,False,False,Python,2025-10-09,Clinical / EM / PHI,clinical-EM-PHI,iteration,7,8,6,14,,"Public TUHS antibiotic CDS: 11 Agno agents loaded from real institutional guideline JSON, allergy trees, dosing-by-indication, Fly.io deploy.",https://github.com/deesatzed/tuhs-abx-steward,"antibiotics, stewardship, agno, fly.io","ABXguideInp.json / ABX_DOSIING.json / ABX_INFECTION_SOURCE.json as the institutional knowledge core | Per-infection specialized agents + allergy decision trees | DoseCalculator by_indication format (ssti, bone_joint, endocarditis, cns) from Oct 9 commits | PharmD-gated evidence search (IDSA/CDC/WHO/PubMed) rather than fully autonomous",Most 'a hospital could actually run this' app besides Honest Broker. .env in root. eTempleABX is the ancestor.
tuhs-honest-broker,True,False,False,Python,2025-12-04,Clinical / EM / PHI,clinical-EM-PHI,iteration,7,8,6,14,,"AI-augmented HIPAA Honest Broker portal: schema-driven intake, email→draft GPT parser, risk scoring, cryptographic email approvals, FastAPI+React, CI.",https://github.com/deesatzed/tuhs-honest-broker,"hipaa, honest-broker, research-governance, fastapi",Schema-driven intake (backend/config/intake_form_config.json) so governance fields evolve without redeploy | Email-thread → GPT parser → draft wizard autofill | Cryptographic approval tokens on email reply/link | HB taxonomy JSONs and WORM-ish action logging,Real institutional product. Nested HBRnexus-main. .env in root is a smell. Highest clinical-ops utility with tuhs-abx-steward.
anonobit,True,False,False,Python,2026-02-19,ML research,ML-research-legacy,iteration,7,7,7,14,,"Evolved LogSwarm: DGAE v5 plus temporal features plus evolutionary symbolic protocols, plus a generic multi-sensor framework and Hospital-at-Home clinical monitoring with FHIR R4 (Avg F1 0.769 on HAI).",https://github.com/deesatzed/anonobit,"anomaly-detection, DGAE, H@H, symbolic-protocols","Deterministic Gaussian Autoencoder v5 plus temporal features; per-file F1 table on HAI 21.03. | Generic multi-sensor schema plus device onboarding - not ICS-only. | H@H layer: per-patient baselines, clinical rules, tiered alerts, FHIR R4. | Symbolic protocol / tournament layer shared with xplurx (Claims, Falsifiers, Decisions).","Private, 187MB (data). Successor of logswarm-anomaly-detection. paper/ plus WHITEPAPER.md plus Prometheus/Grafana."
aXc-ace-forecaster,True,False,False,Python,2026-01-01,Clinical / EM / PHI,clinical-forecasting,iteration,7,7,7,14,,"Latest hospital-census 7-model ensemble (Chronos+SARIMAX+ARIMA+XGBoost+Ridge+DOW+Naive) with SLSQP weights, weather features, aXc Bayesian priors from production deltas, and a stigmergy coordination experiment.",https://github.com/deesatzed/aXc-ace-forecaster,"ensemble, hospital-census, aXc, weather, SLSQP","SLSQP ensemble weight optimizer plus MAPE-gated production validation (claimed 1.51% on 1,630 days) | aXc prior conversion: ACE production deltas → Bayesian Beta priors that seed the next SLSQP start (the 61% degradation bugfix lives here) | Weather/holiday exogenous features via Open-Meteo and column-specific adaptive training windows | Stigmergy/Hybrid SLSQP coordination from the 2026-01-01 commit — extract before it bitrots","Canonical ACE+aXc lineage tip. Root is a 296-file dump (.env committed, Claude session transcripts). Keep as the living forecast repo; don't treat siblings as current."
Neuro-Lesion_Mapper,True,False,False,Python,2025-08-23,Clinical / EM / PHI,clinical-EM-PHI,iteration,7,7,7,14,,"Rule-based neuro-deficit → brain-region/vascular-territory engine (engine.py ~50k) with CLI, GUI, pytest, OpenAI parse fallback, and KB-fused GPT triage.",https://github.com/deesatzed/Neuro-Lesion_Mapper,"neurology, cds, rules-engine, rag, cli",src/neuro_ct_app/engine.py scoring engine + config/ scoring JSON and curated cases.json. | scripts/validate_rules.py grid-search that can persist best weights. | ai_parser/ with cache+metrics and confidence-threshold fallback to heuristics. | triage/ + kb/ JSON fusion (alpha/tau retrieval knobs) — distinctive CDS pattern.,"Private Python; AGENTS.md, CHANGELOG, Makefile, tests/. Highest novelty in the batch: actual clinical localization logic, not just an LLM wrapper."
Carrel,False,False,False,TypeScript,2026-08-27,Clinical / EM / PHI,clinical-PHI,iteration,6,7,7,14,,Private in-browser desk for a packet: ask only the pages in front of you; anything that leaves requires a call-slip with identifiers struck and a receipt.,https://github.com/deesatzed/Carrel,"phi-airlock, call-slip, receipts, browser-local, grok-build","Verb split (Ask the packet / Fill a call slip / Find local / Keep on purpose / Receipts) — reuse as PHI UX contract. | Tests: src/lib/packet.test.ts, desk-safety, desk-receipts, slip-guard, excerpt-choice, lamp-model. | Identifier guards so the same mouth that reads a chart cannot silently web-search a name.",Same Grok-build Vite/TanStack/PGlite scaffold as HarborSafePHI. Demo packet is fictional Mara. Strong PHI idea; no CI.
